Dataset,R,Alpha_Min,Alpha_Max,Algorithm,L,QPS,Latency,Recall
gist,32,1.0,1.2,Baseline,50,1306.43,20865.63,73.93
gist,32,1.0,1.2,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.2,Baseline,50,1320.52,20931.01,74.34
gist,32,1.0,1.2,Baseline,50,210.91,146058.40,73.67
gist,32,1.0,1.2,Baseline,50,1312.42,21266.91,75.18
gist,32,1.0,1.2,Baseline,100,110.62,281127.87,85.42
gist,32,1.0,1.2,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.2,Baseline,100,728.16,39941.70,85.71
gist,32,1.0,1.2,Baseline,100,134.03,234525.52,84.97
gist,32,1.0,1.2,Baseline,100,734.50,39825.67,86.47
gist,32,1.0,1.2,Baseline,150,266.70,114855.67,90.00
gist,32,1.0,1.2,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.2,Baseline,150,148.09,204677.12,90.76
gist,32,1.0,1.2,Baseline,150,505.75,58404.30,89.22
gist,32,1.0,1.2,Baseline,150,123.51,246390.53,91.16
gist,32,1.0,1.2,Baseline,200,385.41,77573.31,92.75
gist,32,1.0,1.2,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.2,Baseline,200,57.34,542308.73,93.30
gist,32,1.0,1.2,Baseline,200,382.19,77676.47,92.08
gist,32,1.0,1.2,Baseline,200,57.69,538561.87,93.60
gist,32,1.0,1.2,MCGI,50,440.08,69003.71,72.73
gist,32,1.0,1.2,MCGI,50,435.46,70079.80,73.29
gist,32,1.0,1.2,MCGI,50,526.62,56479.67,73.77
gist,32,1.0,1.2,MCGI,50,450.21,67534.31,71.30
gist,32,1.0,1.2,MCGI,50,1258.26,22209.14,73.57
gist,32,1.0,1.2,MCGI,100,375.86,80665.01,84.20
gist,32,1.0,1.2,MCGI,100,231.53,130904.36,84.93
gist,32,1.0,1.2,MCGI,100,712.50,40656.26,85.28
gist,32,1.0,1.2,MCGI,100,379.74,80110.53,82.97
gist,32,1.0,1.2,MCGI,100,711.63,40875.13,85.33
gist,32,1.0,1.2,MCGI,150,300.08,101254.16,89.17
gist,32,1.0,1.2,MCGI,150,160.11,190729.71,89.61
gist,32,1.0,1.2,MCGI,150,492.17,59571.44,90.05
gist,32,1.0,1.2,MCGI,150,284.72,104576.85,88.05
gist,32,1.0,1.2,MCGI,150,426.81,69988.13,90.20
gist,32,1.0,1.2,MCGI,200,159.92,191085.63,92.12
gist,32,1.0,1.2,MCGI,200,136.21,225810.93,92.18
gist,32,1.0,1.2,MCGI,200,374.86,79317.26,92.67
gist,32,1.0,1.2,MCGI,200,162.49,187960.04,90.80
gist,32,1.0,1.2,MCGI,200,377.54,79203.83,92.89
gist,32,1.0,1.5,Baseline,50,1320.52,20931.01,74.34
gist,32,1.0,1.5,Baseline,50,1306.43,20865.63,73.93
gist,32,1.0,1.5,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.5,Baseline,50,1312.42,21266.91,75.18
gist,32,1.0,1.5,Baseline,50,210.91,146058.40,73.67
gist,32,1.0,1.5,Baseline,100,728.16,39941.70,85.71
gist,32,1.0,1.5,Baseline,100,110.62,281127.87,85.42
gist,32,1.0,1.5,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.5,Baseline,100,734.50,39825.67,86.47
gist,32,1.0,1.5,Baseline,100,134.03,234525.52,84.97
gist,32,1.0,1.5,Baseline,150,148.09,204677.12,90.76
gist,32,1.0,1.5,Baseline,150,266.70,114855.67,90.00
gist,32,1.0,1.5,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.5,Baseline,150,123.51,246390.53,91.16
gist,32,1.0,1.5,Baseline,150,505.75,58404.30,89.22
gist,32,1.0,1.5,Baseline,200,57.34,542308.73,93.30
gist,32,1.0,1.5,Baseline,200,385.41,77573.31,92.75
gist,32,1.0,1.5,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.5,Baseline,200,57.69,538561.87,93.60
gist,32,1.0,1.5,Baseline,200,382.19,77676.47,92.08
gist,32,1.0,1.5,MCGI,50,462.44,65547.56,74.80
gist,32,1.0,1.5,MCGI,50,454.29,66911.98,73.53
gist,32,1.0,1.5,MCGI,50,453.95,66990.02,74.12
gist,32,1.0,1.5,MCGI,50,457.12,66314.81,74.81
gist,32,1.0,1.5,MCGI,50,444.15,68379.07,72.45
gist,32,1.0,1.5,MCGI,100,250.03,122782.91,86.58
gist,32,1.0,1.5,MCGI,100,223.42,136685.02,85.08
gist,32,1.0,1.5,MCGI,100,246.38,122268.96,85.94
gist,32,1.0,1.5,MCGI,100,246.14,123012.98,86.42
gist,32,1.0,1.5,MCGI,100,270.33,111341.87,83.73
gist,32,1.0,1.5,MCGI,150,161.67,190105.85,91.10
gist,32,1.0,1.5,MCGI,150,167.91,183233.71,89.91
gist,32,1.0,1.5,MCGI,150,163.10,188106.36,90.72
gist,32,1.0,1.5,MCGI,150,159.28,191412.87,91.09
gist,32,1.0,1.5,MCGI,150,165.44,184835.38,88.69
gist,32,1.0,1.5,MCGI,200,139.31,218101.78,93.55
gist,32,1.0,1.5,MCGI,200,133.93,228799.75,92.79
gist,32,1.0,1.5,MCGI,200,142.41,213958.16,92.97
gist,32,1.0,1.5,MCGI,200,138.18,222299.79,93.80
gist,32,1.0,1.5,MCGI,200,139.74,219808.75,91.48
gist,32,1.0,1.8,Baseline,50,1312.42,21266.91,75.18
gist,32,1.0,1.8,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.8,Baseline,50,1306.43,20865.63,73.93
gist,32,1.0,1.8,Baseline,50,210.91,146058.40,73.67
gist,32,1.0,1.8,Baseline,50,1320.52,20931.01,74.34
gist,32,1.0,1.8,Baseline,100,734.50,39825.67,86.47
gist,32,1.0,1.8,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.8,Baseline,100,110.62,281127.87,85.42
gist,32,1.0,1.8,Baseline,100,134.03,234525.52,84.97
gist,32,1.0,1.8,Baseline,100,728.16,39941.70,85.71
gist,32,1.0,1.8,Baseline,150,123.51,246390.53,91.16
gist,32,1.0,1.8,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.8,Baseline,150,266.70,114855.67,90.00
gist,32,1.0,1.8,Baseline,150,505.75,58404.30,89.22
gist,32,1.0,1.8,Baseline,150,148.09,204677.12,90.76
gist,32,1.0,1.8,Baseline,200,57.69,538561.87,93.60
gist,32,1.0,1.8,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.8,Baseline,200,385.41,77573.31,92.75
gist,32,1.0,1.8,Baseline,200,382.19,77676.47,92.08
gist,32,1.0,1.8,Baseline,200,57.34,542308.73,93.30
gist,32,1.0,1.8,MCGI,50,452.26,67146.73,74.88
gist,32,1.0,1.8,MCGI,50,448.35,67896.43,74.52
gist,32,1.0,1.8,MCGI,50,466.74,65139.82,73.66
gist,32,1.0,1.8,MCGI,50,445.09,68313.99,73.49
gist,32,1.0,1.8,MCGI,50,463.48,65504.30,74.68
gist,32,1.0,1.8,MCGI,100,234.56,129940.38,86.45
gist,32,1.0,1.8,MCGI,100,222.66,137159.69,86.24
gist,32,1.0,1.8,MCGI,100,224.83,135152.24,85.10
gist,32,1.0,1.8,MCGI,100,256.63,117840.52,84.53
gist,32,1.0,1.8,MCGI,100,255.46,118377.55,86.66
gist,32,1.0,1.8,MCGI,150,167.93,180856.75,91.25
gist,32,1.0,1.8,MCGI,150,163.81,187854.89,90.79
gist,32,1.0,1.8,MCGI,150,167.89,182294.63,90.13
gist,32,1.0,1.8,MCGI,150,163.73,186332.08,89.21
gist,32,1.0,1.8,MCGI,150,165.12,184724.15,91.27
gist,32,1.0,1.8,MCGI,200,134.65,226971.75,93.79
gist,32,1.0,1.8,MCGI,200,135.28,226538.63,93.11
