Dataset,R,Alpha_Min,Alpha_Max,Algorithm,L,QPS,Latency,Recall
gist,32,1.0,1.1,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.1,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.1,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.1,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.1,MCGI,50,1250.56,22017.50,73.94
gist,32,1.0,1.1,MCGI,100,701.67,41216.47,85.32
gist,32,1.0,1.1,MCGI,150,422.33,70420.55,90.04
gist,32,1.0,1.1,MCGI,200,374.66,79232.98,92.38
gist,32,1.0,1.2,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.2,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.2,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.2,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.2,MCGI,50,452.43,67127.59,73.52
gist,32,1.0,1.2,MCGI,100,253.29,118872.95,85.23
gist,32,1.0,1.2,MCGI,150,169.99,180418.78,89.93
gist,32,1.0,1.2,MCGI,200,139.56,218575.90,92.31
gist,32,1.0,1.3,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.3,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.3,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.3,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.3,MCGI,50,452.80,66952.86,73.64
gist,32,1.0,1.3,MCGI,100,225.04,135411.77,85.28
gist,32,1.0,1.3,MCGI,150,170.68,181132.89,90.21
gist,32,1.0,1.3,MCGI,200,134.54,227058.19,92.59
gist,32,1.0,1.4,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.4,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.4,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.4,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.4,MCGI,50,453.41,67200.86,73.91
gist,32,1.0,1.4,MCGI,100,248.49,123105.37,85.80
gist,32,1.0,1.4,MCGI,150,161.89,190286.47,90.33
gist,32,1.0,1.4,MCGI,200,136.74,221132.86,92.79
gist,32,1.0,1.5,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.5,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.5,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.5,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.5,MCGI,50,479.39,63279.05,73.87
gist,32,1.0,1.5,MCGI,100,267.27,114606.55,85.98
gist,32,1.0,1.5,MCGI,150,163.74,185581.11,90.58
gist,32,1.0,1.5,MCGI,200,143.09,215077.27,92.92
gist,32,1.0,1.6,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.6,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.6,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.6,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.6,MCGI,50,409.28,72762.82,74.20
gist,32,1.0,1.6,MCGI,100,211.13,144660.10,86.19
gist,32,1.0,1.6,MCGI,150,160.29,190278.30,90.72
gist,32,1.0,1.6,MCGI,200,143.78,212826.22,93.09
gist,32,1.0,1.7,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,1.7,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,1.7,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,1.7,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.7,MCGI,50,453.25,67064.77,74.27
gist,32,1.0,1.7,MCGI,100,274.68,110104.79,85.97
gist,32,1.0,1.7,MCGI,150,165.40,183284.07,90.68
gist,32,1.0,1.7,MCGI,200,137.53,220252.03,93.01
gist,32,1.0,2.0,Baseline,50,1313.42,20854.45,74.98
gist,32,1.0,2.0,Baseline,100,731.72,39713.86,86.13
gist,32,1.0,2.0,Baseline,150,113.41,269882.43,90.52
gist,32,1.0,2.0,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,2.0,MCGI,50,438.23,69367.49,74.61
gist,32,1.0,2.0,MCGI,100,256.04,117373.66,86.54
gist,32,1.0,2.0,MCGI,150,164.86,185756.87,91.03
gist,32,1.0,2.0,MCGI,200,136.61,225722.61,93.39
gist,32,1.1,1.2,Baseline,50,1313.42,20854.45,74.98
gist,32,1.1,1.2,Baseline,100,731.72,39713.86,86.13
gist,32,1.1,1.2,Baseline,150,113.41,269882.43,90.52
gist,32,1.1,1.2,Baseline,200,58.95,535912.79,93.04
gist,32,1.1,1.2,MCGI,50,187.37,163709.56,73.50
gist,32,1.1,1.2,MCGI,100,134.75,229233.42,85.08
gist,32,1.1,1.2,MCGI,150,292.90,104134.09,89.79
gist,32,1.1,1.2,MCGI,200,260.84,116957.57,92.32
gist,32,1.1,1.3,Baseline,50,1313.42,20854.45,74.98
gist,32,1.1,1.3,Baseline,100,731.72,39713.86,86.13
gist,32,1.1,1.3,Baseline,150,113.41,269882.43,90.52
gist,32,1.1,1.3,Baseline,200,58.95,535912.79,93.04
gist,32,1.1,1.3,MCGI,50,438.39,69397.74,74.30
gist,32,1.1,1.3,MCGI,100,218.66,138751.16,86.11
gist,32,1.1,1.3,MCGI,150,166.50,184704.51,90.56
gist,32,1.1,1.3,MCGI,200,135.90,224600.04,92.94
gist,32,1.1,1.4,Baseline,50,1313.42,20854.45,74.98
gist,32,1.1,1.4,Baseline,100,731.72,39713.86,86.13
gist,32,1.1,1.4,Baseline,150,113.41,269882.43,90.52
gist,32,1.1,1.4,Baseline,200,58.95,535912.79,93.04
gist,32,1.1,1.4,MCGI,50,459.82,66014.97,74.18
gist,32,1.1,1.4,MCGI,100,202.92,151157.27,86.12
gist,32,1.1,1.4,MCGI,150,166.64,183942.21,90.78
gist,32,1.1,1.4,MCGI,200,134.56,225635.66,93.11
gist,32,1.1,1.5,Baseline,50,1313.42,20854.45,74.98
gist,32,1.1,1.5,Baseline,100,731.72,39713.86,86.13
gist,32,1.1,1.5,Baseline,150,113.41,269882.43,90.52
gist,32,1.1,1.5,Baseline,200,58.95,535912.79,93.04
gist,32,1.1,1.5,MCGI,50,463.15,65498.27,74.32
gist,32,1.1,1.5,MCGI,100,257.64,117100.81,86.33
gist,32,1.1,1.5,MCGI,150,159.37,192880.84,90.76
gist,32,1.1,1.5,MCGI,200,140.37,217200.14,93.12
gist,32,1.1,1.6,Baseline,50,1313.42,20854.45,74.98
gist,32,1.1,1.6,Baseline,100,731.72,39713.86,86.13
gist,32,1.1,1.6,Baseline,150,113.41,269882.43,90.52
gist,32,1.1,1.6,Baseline,200,58.95,535912.79,93.04
gist,32,1.1,1.6,MCGI,50,461.47,65964.67,74.38
gist,32,1.1,1.6,MCGI,100,249.88,122904.34,86.40
gist,32,1.1,1.6,MCGI,150,161.19,188222.06,90.62
gist,32,1.1,1.6,MCGI,200,137.91,220938.33,92.92
gist,32,1.1,1.7,Baseline,50,1313.42,20854.45,74.98
gist,32,1.1,1.7,Baseline,100,731.72,39713.86,86.13
gist,32,1.1,1.7,Baseline,150,113.41,269882.43,90.52
gist,32,1.1,1.7,Baseline,200,58.95,535912.79,93.04
gist,32,1.1,1.7,MCGI,50,465.05,65220.35,74.39
gist,32,1.1,1.7,MCGI,100,244.85,126126.36,86.46
gist,32,1.1,1.7,MCGI,150,162.23,190170.67,90.75
gist,32,1.1,1.7,MCGI,200,138.69,219478.84,93.15
gist,32,1.1,2.0,Baseline,50,1313.42,20854.45,74.98
gist,32,1.1,2.0,Baseline,100,731.72,39713.86,86.13
gist,32,1.1,2.0,Baseline,150,113.41,269882.43,90.52
gist,32,1.1,2.0,Baseline,200,58.95,535912.79,93.04
gist,32,1.1,2.0,MCGI,50,458.89,66348.10,74.83
gist,32,1.1,2.0,MCGI,100,252.98,120784.07,86.31
gist,32,1.1,2.0,MCGI,150,157.87,195310.08,91.02
gist,32,1.1,2.0,MCGI,200,140.02,217313.26,93.32
gist,48,1.0,1.1,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.1,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.1,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.1,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.1,MCGI,50,1292.48,21454.81,77.60
gist,48,1.0,1.1,MCGI,100,709.50,39778.67,88.55
gist,48,1.0,1.1,MCGI,150,492.25,59069.00,93.10
gist,48,1.0,1.1,MCGI,200,374.95,79323.38,95.39
gist,48,1.0,1.2,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.2,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.2,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.2,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.2,MCGI,50,470.36,64391.99,77.66
gist,48,1.0,1.2,MCGI,100,235.85,127551.84,88.60
gist,48,1.0,1.2,MCGI,150,161.47,190562.13,93.17
gist,48,1.0,1.2,MCGI,200,129.82,236691.79,95.30
gist,48,1.0,1.3,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.3,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.3,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.3,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.3,MCGI,50,470.35,64240.03,78.18
gist,48,1.0,1.3,MCGI,100,203.45,149927.37,89.00
gist,48,1.0,1.3,MCGI,150,155.23,197037.13,93.53
gist,48,1.0,1.3,MCGI,200,130.96,234389.94,95.77
gist,48,1.0,1.4,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.4,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.4,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.4,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.4,MCGI,50,458.71,66178.44,79.23
gist,48,1.0,1.4,MCGI,100,208.83,144468.64,89.97
gist,48,1.0,1.4,MCGI,150,158.93,192877.29,94.27
gist,48,1.0,1.4,MCGI,200,128.17,239401.66,96.18
gist,48,1.0,1.5,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.5,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.5,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.5,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.5,MCGI,50,465.90,64920.56,78.74
gist,48,1.0,1.5,MCGI,100,226.77,133214.05,90.20
gist,48,1.0,1.5,MCGI,150,164.27,187044.69,94.16
gist,48,1.0,1.5,MCGI,200,133.25,230810.06,96.23
gist,48,1.0,1.6,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.6,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.6,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.6,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.6,MCGI,50,456.41,66359.78,78.99
gist,48,1.0,1.6,MCGI,100,213.12,143500.19,90.09
gist,48,1.0,1.6,MCGI,150,159.61,191280.92,94.17
gist,48,1.0,1.6,MCGI,200,133.18,231288.44,96.16
gist,48,1.0,1.7,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.7,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.7,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.7,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.7,MCGI,50,466.76,64931.84,79.27
gist,48,1.0,1.7,MCGI,100,226.79,133606.42,90.15
gist,48,1.0,1.7,MCGI,150,152.54,200213.41,94.36
gist,48,1.0,1.7,MCGI,200,130.62,235389.65,96.27
gist,48,1.0,2.0,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,2.0,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,2.0,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,2.0,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,2.0,MCGI,50,468.39,64709.59,79.11
gist,48,1.0,2.0,MCGI,100,223.91,134808.80,89.81
gist,48,1.0,2.0,MCGI,150,151.78,202585.50,94.33
gist,48,1.0,2.0,MCGI,200,132.23,232124.25,96.32
gist,48,1.1,1.2,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.2,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.2,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.2,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.2,MCGI,50,469.38,64671.59,77.59
gist,48,1.1,1.2,MCGI,100,233.78,129754.09,88.73
gist,48,1.1,1.2,MCGI,150,152.65,199929.69,93.21
gist,48,1.1,1.2,MCGI,200,134.19,229127.09,95.44
gist,48,1.1,1.3,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.3,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.3,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.3,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.3,MCGI,50,479.32,63157.74,79.04
gist,48,1.1,1.3,MCGI,100,261.24,113882.26,89.85
gist,48,1.1,1.3,MCGI,150,153.75,199040.33,94.02
gist,48,1.1,1.3,MCGI,200,131.26,231701.40,95.98
gist,48,1.1,1.4,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.4,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.4,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.4,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.4,MCGI,50,471.70,64368.03,79.11
gist,48,1.1,1.4,MCGI,100,240.23,125241.93,90.16
gist,48,1.1,1.4,MCGI,150,160.15,189684.80,94.21
gist,48,1.1,1.4,MCGI,200,127.75,240232.73,96.28
gist,48,1.1,1.5,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.5,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.5,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.5,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.5,MCGI,50,461.99,65632.04,79.36
gist,48,1.1,1.5,MCGI,100,252.01,120121.72,90.15
gist,48,1.1,1.5,MCGI,150,160.16,189805.53,94.36
gist,48,1.1,1.5,MCGI,200,130.19,235207.10,96.18
gist,48,1.1,1.6,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.6,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.6,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.6,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.6,MCGI,50,466.91,64947.71,79.53
gist,48,1.1,1.6,MCGI,100,287.98,102961.58,89.95
gist,48,1.1,1.6,MCGI,150,160.56,189151.98,94.23
gist,48,1.1,1.6,MCGI,200,130.48,232731.52,96.31
gist,48,1.1,1.7,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.7,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.7,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.7,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.7,MCGI,50,458.75,66124.39,79.48
gist,48,1.1,1.7,MCGI,100,251.98,119367.72,90.12
gist,48,1.1,1.7,MCGI,150,167.43,184282.57,94.50
